merchant_id,merchant_name,category,city,risk_level
60,"Khalsa, Hegde and Ganesh",Entertainment,Noida,LOW
61,"Shankar, Loyal and Bala",Clothing,Bhiwani,LOW
62,Apte-Bhandari,Travel,Ambarnath,HIGH
63,Walla-Halder,Clothing,Uluberia,HIGH
64,"Sant, Sem and Narayan",Fuel,Moradabad,HIGH
65,"Ghose, Purohit and Andra",Travel,Bhind,LOW
66,Suresh LLC,Pharmacy,Jorhat,MEDIUM
67,Sur-Sabharwal,Pharmacy,Bardhaman,MEDIUM
68,Bera and Sons,Food,Chapra,HIGH
69,Mohanty-Bandi,Entertainment,Surendranagar Dudhrej,MEDIUM
70,"Nayak, Mohanty and Raman",Groceries,Gangtok,MEDIUM
71,Bera Group,Food,Kumbakonam,LOW
72,Bahl PLC,Travel,Khandwa,LOW
73,"Arora, Raghavan and Padmanabhan",Electronics,Pune,HIGH
74,"Bose, Balay and Rau",Entertainment,New Delhi,MEDIUM
75,"Vohra, Anand and Zacharia",Travel,Srinagar,LOW
76,Purohit-Chaudhuri,Entertainment,Agartala,MEDIUM
77,Loke Group,Travel,Kottayam,MEDIUM
78,Tank Ltd,Groceries,Shivpuri,HIGH
79,Wali Ltd,Clothing,Gwalior,HIGH
80,"Sagar, Parmer and Doctor",Travel,Sikar,LOW
81,Bera Ltd,Entertainment,Alappuzha,MEDIUM
82,Chaudhari-Lall,Groceries,Bardhaman,MEDIUM
83,"Chacko, Ganesh and Balakrishnan",Pharmacy,Latur,LOW
84,"Zacharia, Barad and Prakash",Pharmacy,Howrah,HIGH
85,Rajagopal-Bajwa,Electronics,Anand,LOW
86,"Ramachandran, Balan and Ramaswamy",Fuel,Dehri,MEDIUM
87,Mall and Sons,Pharmacy,Bijapur,MEDIUM
88,Mander PLC,Fuel,Kolkata,HIGH
89,"Peri, Choudhry and Barad",Food,Rajahmundry,LOW
90,Deshpande-Chatterjee,Food,Howrah,LOW
91,Wali LLC,Fuel,Patna,MEDIUM
92,Krishnan-Varma,Groceries,Raichur,MEDIUM
93,Dhar-Amble,Entertainment,Bellary,HIGH
94,Chadha-Borra,Fuel,Madurai,LOW
95,Divan-Khosla,Electronics,Pallavaram,LOW
96,"Gandhi, Om and Sahni",Electronics,Ichalkaranji,LOW
97,Mannan-Sibal,Groceries,Katihar,MEDIUM
98,"Sami, Karnik and Toor",Entertainment,Sambhal,MEDIUM
99,Chada-Bajaj,Entertainment,Kharagpur,LOW
100,"Shroff, Ravel and Kanda",Electronics,Hajipur,LOW
